patternName,concurrency,memorySize,averageRps,totalComputeTime,requests,coldstarts,duration,billedDuration,maxRps,avgDelay,maxDelay
kill15,30,2240.0,4.64,5633.46875,4262,29,2484.36951,2575.3,4.76,7.66416686087,15.271
med15,4,2496.0,7.3,8268.73125,6641,3,2999.85965,3392.3,7.56,7.69658729681,15.245
debug1,8,1984.0,5.25,564.00625,327,7,273.96486,291.1,5.25,8.17337724551,15.097
kill15,10,1472.0,4.59,5097.80625,4216,9,3282.93594,3546.3,4.71,7.6740712426,15.21
high15,2,1728.0,2.86,3136.89375,2621,1,1679.46027,1858.9,2.95,7.64070251716,15.176
ramp20,4,2240.0,6.95,9895.375,8432,4,4270.86655,4523.6,7.2,7.66526232812,15.306
debug1,20,1984.0,5.36,879.04375,340,19,434.38628,453.7,5.36,8.01584122563,15.116
medwave20,15,2496.0,8.16,12633.5625,9912,14,4652.23405,5183.0,9.53,7.87172053194,15.571
debug1,40,2240.0,5.36,1503.6875,361,39,678.61915,687.4,5.36,8.1569675,15.175
ramp20,4,2752.0,8.02,12849.475,9728,4,4122.77668,4781.2,8.48,7.66134905467,15.276
debug1,15,2752.0,5.5,942.775,344,14,324.54516,350.8,5.5,8.02179888268,15.11
med15,-1,3008.0,9.19,13365.91875,8419,86,4285.25919,4550.1,9.53,7.88912251617,15.329
kill15,6,2752.0,4.67,5444.06875,4249,5,1786.22145,2025.7,4.76,7.82482251998,15.336
debug1,2,1216.0,1.51,127.89375,93,1,105.40616,107.7,1.51,7.73540425532,15.153
med15,2,1216.0,1.96,2103.775,1839,2,1701.24885,1771.6,2.1,7.73485279739,15.31
ramp20,4,3008.0,8.84,13018.11875,10705,3,4133.52097,4431.7,9.28,7.6244850579,15.255
med15,6,1472.0,6.88,7396.225,6315,5,4740.76143,5145.2,7.15,7.79535332278,15.691
debug1,6,1472.0,4.65,454.39375,289,5,301.85357,316.1,4.65,8.18565646259,15.126
highwave20,2,1728.0,2.81,4050.84375,3443,2,2203.2827,2400.5,3.01,7.71809985486,15.189
debug1,20,1216.0,4.08,801.68125,272,19,664.4858,675.1,4.09,8.61259106529,15.235
med15,4,1728.0,5.28,5823.39375,4832,3,3131.64416,3450.9,5.45,7.66819338159,15.225
ramp20,20,1472.0,10.17,14902.275,12434,23,9633.61345,10366.8,11.84,7.85577538733,15.855
highwave20,20,1984.0,9.35,13788.4125,11363,19,6550.30972,7116.6,11.88,7.8385098401,15.238
ramp20,15,2752.0,10.31,16867.01875,12498,16,5353.15202,6276.1,11.88,7.81542863992,15.309
medwave20,8,2752.0,8.18,12882.8,9917,7,4153.62689,4793.6,9.53,7.80640376864,15.285
med15,10,2752.0,9.17,11230.25625,8336,9,3555.30677,4178.7,9.53,7.84926938286,15.39
highwave20,15,2752.0,9.36,14965.34375,11344,14,4821.57153,5568.5,11.84,7.85629908435,16.393
debug1,4,2240.0,5.23,446.90625,316,3,196.12354,204.3,5.23,7.92051097179,15.144
medwave20,40,2496.0,8.17,13401.375,9943,39,4943.20998,5498.0,9.53,7.79329833701,15.472
highwave20,6,2240.0,8.56,12207.125,10397,5,5263.53458,5580.4,10.36,7.77018861757,15.225
debug1,15,3008.0,5.63,963.79375,357,14,318.00167,328.1,5.63,8.49082749326,15.129
debug1,8,2240.0,5.4,569.84375,331,7,250.26221,260.5,5.4,8.16842011834,15.203
medwave20,15,2752.0,8.17,12913.16875,9921,16,4225.97474,4804.9,9.53,7.75476572406,15.67
highwave20,6,2752.0,9.3,14782.05625,11277,6,4709.94117,5500.3,11.88,7.70605060711,15.764
medwave20,30,2752.0,8.19,13829.06875,9955,30,4470.88695,5145.7,9.51,7.79516004006,15.185
